KÛd obce,N·zev obce,VoliËi v seznamu,VydanÈ ob·lky,PlatnÈ hlasy,ObËansk· demokratick· strana,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,»esk· str.soci·lnÏ demokrat.,RadostnÈ »esko,STAROSTOV… A NEZ¡VISLÕ,Komunistick· str.»ech a Moravy,Strana zelen˝ch,"ROZUMNÕ-stop migraci,dikt·t.EU",Strana svobodn˝ch obËan˘,Blok proti islam.-Obran.domova,ObËansk· demokratick· aliance,»esk· pir·tsk· strana,Referendum o EvropskÈ unii,TOP 09,ANO 2011,Dobr· volba 2016,SPR-Republ.str.»sl. M.Sl·dka,K¯esù.demokr.unie-»s.str.lid.,REALIST…,SPORTOVCI,DÏlnic.str.soci·lnÌ spravedl.,Svob.a p¯.dem.-T.Okamura (SPD),Strana Pr·v ObËan˘
572560,BanÌn,264,157,157,7 %,"4,45 %",0 %,"0,00 %",0 %,"0,00 %",12 %,"7,64 %",0 %,"0,00 %",5 %,"3,18 %",23 %,"14,64 %",1 %,"0,63 %",3 %,"1,91 %",3 %,"1,91 %",0 %,"0,00 %",1 %,"0,63 %"
572586,BÏl· nad Svitavou,413,238,237,16 %,"6,75 %",0 %,"0,00 %",0 %,"0,00 %",24 %,"10,12 %",2 %,"0,84 %",9 %,"3,79 %",20 %,"8,43 %",3 %,"1,26 %",1 %,"0,42 %",2 %,"0,84 %",0 %,"0,00 %",1 %,"0,42 %"
505391,BÏl· u JevÌËka,310,203,203,8 %,"3,94 %",7 %,"3,44 %",0 %,"0,00 %",24 %,"11,82 %",0 %,"0,00 %",8 %,"3,94 %",34 %,"16,74 %",1 %,"0,49 %",1 %,"0,49 %",1 %,"0,49 %",0 %,"0,00 %",0 %,"0,00 %"
577774,Ben·tky,286,204,200,28 %,"14,00 %",0 %,"0,00 %",3 %,"1,50 %",24 %,"12,00 %",0 %,"0,00 %",8 %,"4,00 %",5 %,"2,50 %",0 %,"0,00 %",5 %,"2,50 %",6 %,"3,00 %",0 %,"0,00 %",1 %,"0,50 %"
574309,BezdÏËÌ u Trn·vky,177,120,119,6 %,"5,04 %",0 %,"0,00 %",0 %,"0,00 %",10 %,"8,40 %",1 %,"0,84 %",6 %,"5,04 %",8 %,"6,72 %",0 %,"0,00 %",4 %,"3,36 %",1 %,"0,84 %",1 %,"0,84 %",0 %,"0,00 %"
572519,Biskupice,370,224,224,13 %,"5,80 %",0 %,"0,00 %",0 %,"0,00 %",26 %,"11,60 %",0 %,"0,00 %",31 %,"13,83 %",40 %,"17,85 %",2 %,"0,89 %",2 %,"0,89 %",1 %,"0,44 %",1 %,"0,44 %",0 %,"0,00 %"
577812,BohuÚov,134,101,100,6 %,"6,00 %",0 %,"0,00 %",0 %,"0,00 %",6 %,"6,00 %",0 %,"0,00 %",3 %,"3,00 %",9 %,"9,00 %",0 %,"0,00 %",0 %,"0,00 %",2 %,"2,00 %",0 %,"0,00 %",0 %,"0,00 %"
577821,BohuÚovice,93,52,52,3 %,"5,76 %",0 %,"0,00 %",0 %,"0,00 %",5 %,"9,61 %",2 %,"3,84 %",1 %,"1,92 %",1 %,"1,92 %",0 %,"0,00 %",5 %,"9,61 %",0 %,"0,00 %",0 %,"0,00 %",0 %,"0,00 %"
577839,Borov·,804,544,542,67 %,"12,36 %",15 %,"2,76 %",0 %,"0,00 %",48 %,"8,85 %",1 %,"0,18 %",27 %,"4,98 %",50 %,"9,22 %",7 %,"1,29 %",1 %,"0,18 %",12 %,"2,21 %",0 %,"0,00 %",2 %,"0,36 %"
572632,Boruöov,147,84,84,5 %,"5,95 %",2 %,"2,38 %",0 %,"0,00 %",5 %,"5,95 %",0 %,"0,00 %",5 %,"5,95 %",24 %,"28,57 %",1 %,"1,19 %",1 %,"1,19 %",0 %,"0,00 %",0 %,"0,00 %",0 %,"0,00 %"
577863,BrnÏnec,1†091,621,618,41 %,"6,63 %",0 %,"0,00 %",0 %,"0,00 %",66 %,"10,67 %",2 %,"0,32 %",15 %,"2,42 %",77 %,"12,45 %",9 %,"1,45 %",18 %,"2,91 %",3 %,"0,48 %",0 %,"0,00 %",0 %,"0,00 %"
577871,B¯ezina,292,178,175,7 %,"4,00 %",4 %,"2,28 %",0 %,"0,00 %",13 %,"7,42 %",0 %,"0,00 %",6 %,"3,42 %",32 %,"18,28 %",1 %,"0,57 %",0 %,"0,00 %",7 %,"4,00 %",0 %,"0,00 %",1 %,"0,57 %"
572250,B¯ezinky,109,79,79,0 %,"0,00 %",0 %,"0,00 %",0 %,"0,00 %",13 %,"16,45 %",0 %,"0,00 %",4 %,"5,06 %",9 %,"11,39 %",2 %,"2,53 %",0 %,"0,00 %",2 %,"2,53 %",0 %,"0,00 %",0 %,"0,00 %"
577898,B¯eziny,124,92,92,16 %,"17,39 %",0 %,"0,00 %",0 %,"0,00 %",11 %,"11,95 %",0 %,"0,00 %",5 %,"5,43 %",11 %,"11,95 %",2 %,"2,17 %",2 %,"2,17 %",0 %,"0,00 %",0 %,"0,00 %",0 %,"0,00 %"
505145,B¯ezov· nad Svitavou,1†289,686,679,66 %,"9,72 %",2 %,"0,29 %",0 %,"0,00 %",92 %,"13,54 %",0 %,"0,00 %",16 %,"2,35 %",60 %,"8,83 %",4 %,"0,58 %",6 %,"0,88 %",12 %,"1,76 %",0 %,"0,00 %",1 %,"0,14 %"
577910,Budislav,373,249,249,19 %,"7,63 %",0 %,"0,00 %",0 %,"0,00 %",9 %,"3,61 %",0 %,"0,00 %",37 %,"14,85 %",19 %,"7,63 %",1 %,"0,40 %",3 %,"1,20 %",0 %,"0,00 %",0 %,"0,00 %",0 %,"0,00 %"
577928,BystrÈ,1†248,851,844,153 %,"18,12 %",2 %,"0,23 %",0 %,"0,00 %",78 %,"9,24 %",0 %,"0,00 %",16 %,"1,89 %",61 %,"7,22 %",6 %,"0,71 %",7 %,"0,82 %",7 %,"0,82 %",0 %,"0,00 %",3 %,"0,35 %"
577936,Cerekvice nad LouËnou,651,414,411,42 %,"10,21 %",0 %,"0,00 %",4 %,"0,97 %",27 %,"6,56 %",0 %,"0,00 %",33 %,"8,02 %",26 %,"6,32 %",3 %,"0,72 %",6 %,"1,45 %",9 %,"2,18 %",1 %,"0,24 %",2 %,"0,48 %"
577944,»ist·,773,475,472,37 %,"7,83 %",1 %,"0,21 %",1 %,"0,21 %",24 %,"5,08 %",1 %,"0,21 %",32 %,"6,77 %",46 %,"9,74 %",4 %,"0,84 %",10 %,"2,11 %",4 %,"0,84 %",2 %,"0,42 %",0 %,"0,00 %"
572357,Desn·,262,198,197,5 %,"2,53 %",1 %,"0,50 %",0 %,"0,00 %",6 %,"3,04 %",0 %,"0,00 %",48 %,"24,36 %",7 %,"3,55 %",1 %,"0,50 %",2 %,"1,01 %",1 %,"0,50 %",0 %,"0,00 %",0 %,"0,00 %"
577961,DÏt¯ichov,271,136,136,8 %,"5,88 %",0 %,"0,00 %",0 %,"0,00 %",7 %,"5,14 %",0 %,"0,00 %",3 %,"2,20 %",13 %,"9,55 %",0 %,"0,00 %",1 %,"0,73 %",4 %,"2,94 %",0 %,"0,00 %",0 %,"0,00 %"
572683,DÏt¯ichov u MoravskÈ T¯ebovÈ,168,99,99,5 %,"5,05 %",0 %,"0,00 %",0 %,"0,00 %",10 %,"10,10 %",0 %,"0,00 %",4 %,"4,04 %",26 %,"26,26 %",0 %,"0,00 %",0 %,"0,00 %",2 %,"2,02 %",0 %,"0,00 %",0 %,"0,00 %"
577987,Dlouh· LouËka,446,245,242,5 %,"2,06 %",0 %,"0,00 %",0 %,"0,00 %",18 %,"7,43 %",0 %,"0,00 %",1 %,"0,41 %",38 %,"15,70 %",2 %,"0,82 %",2 %,"0,82 %",2 %,"0,82 %",0 %,"0,00 %",1 %,"0,41 %"
577995,DolnÌ ⁄jezd,1†586,1†128,1†114,115 %,"10,32 %",1 %,"0,08 %",2 %,"0,17 %",64 %,"5,74 %",0 %,"0,00 %",123 %,"11,04 %",66 %,"5,92 %",18 %,"1,61 %",13 %,"1,16 %",9 %,"0,80 %",1 %,"0,08 %",0 %,"0,00 %"
574325,Gruna,173,111,111,3 %,"2,70 %",0 %,"0,00 %",0 %,"0,00 %",8 %,"7,20 %",0 %,"0,00 %",1 %,"0,90 %",17 %,"15,31 %",2 %,"1,80 %",5 %,"4,50 %",2 %,"1,80 %",0 %,"0,00 %",0 %,"0,00 %"
572284,Hartinkov,50,41,40,4 %,"10,00 %",0 %,"0,00 %",0 %,"0,00 %",0 %,"0,00 %",0 %,"0,00 %",0 %,"0,00 %",4 %,"10,00 %",4 %,"10,00 %",0 %,"0,00 %",0 %,"0,00 %",0 %,"0,00 %",0 %,"0,00 %"
578037,Hartmanice,254,177,177,20 %,"11,29 %",0 %,"0,00 %",1 %,"0,56 %",11 %,"6,21 %",1 %,"0,56 %",6 %,"3,38 %",8 %,"4,51 %",2 %,"1,12 %",1 %,"0,56 %",3 %,"1,69 %",0 %,"0,00 %",0 %,"0,00 %"
578053,Horky,92,72,72,5 %,"6,94 %",0 %,"0,00 %",0 %,"0,00 %",3 %,"4,16 %",0 %,"0,00 %",14 %,"19,44 %",2 %,"2,77 %",0 %,"0,00 %",1 %,"1,38 %",2 %,"2,77 %",0 %,"0,00 %",1 %,"1,38 %"
572365,HornÌ ⁄jezd,329,230,230,13 %,"5,65 %",0 %,"0,00 %",0 %,"0,00 %",14 %,"6,08 %",0 %,"0,00 %",40 %,"17,39 %",5 %,"2,17 %",6 %,"2,60 %",5 %,"2,17 %",8 %,"3,47 %",0 %,"0,00 %",0 %,"0,00 %"
572691,Hradec nad Svitavou,1†346,756,751,36 %,"4,79 %",4 %,"0,53 %",0 %,"0,00 %",77 %,"10,25 %",0 %,"0,00 %",21 %,"2,79 %",90 %,"11,98 %",4 %,"0,53 %",20 %,"2,66 %",8 %,"1,06 %",1 %,"0,13 %",1 %,"0,13 %"
572730,ChmelÌk,153,104,104,9 %,"8,65 %",0 %,"0,00 %",0 %,"0,00 %",8 %,"7,69 %",1 %,"0,96 %",1 %,"0,96 %",11 %,"10,57 %",1 %,"0,96 %",1 %,"0,96 %",1 %,"0,96 %",0 %,"0,00 %",0 %,"0,00 %"
578096,Chornice,717,387,385,29 %,"7,53 %",1 %,"0,25 %",0 %,"0,00 %",34 %,"8,83 %",0 %,"0,00 %",19 %,"4,93 %",42 %,"10,90 %",1 %,"0,25 %",8 %,"2,07 %",6 %,"1,55 %",0 %,"0,00 %",0 %,"0,00 %"
578100,ChotÏnov,108,74,74,4 %,"5,40 %",0 %,"0,00 %",0 %,"0,00 %",2 %,"2,70 %",0 %,"0,00 %",21 %,"28,37 %",7 %,"9,45 %",0 %,"0,00 %",0 %,"0,00 %",0 %,"0,00 %",0 %,"0,00 %",0 %,"0,00 %"
578118,Chotovice,107,71,71,0 %,"0,00 %",0 %,"0,00 %",0 %,"0,00 %",1 %,"1,40 %",0 %,"0,00 %",6 %,"8,45 %",3 %,"4,22 %",0 %,"0,00 %",0 %,"0,00 %",1 %,"1,40 %",0 %,"0,00 %",0 %,"0,00 %"
578126,Chrastavec,177,120,120,5 %,"4,16 %",0 %,"0,00 %",0 %,"0,00 %",21 %,"17,50 %",1 %,"0,83 %",6 %,"5,00 %",12 %,"10,00 %",0 %,"0,00 %",3 %,"2,50 %",1 %,"0,83 %",0 %,"0,00 %",0 %,"0,00 %"
578134,Janov,760,412,410,41 %,"10,00 %",0 %,"0,00 %",0 %,"0,00 %",34 %,"8,29 %",1 %,"0,24 %",20 %,"4,87 %",29 %,"7,07 %",10 %,"2,43 %",16 %,"3,90 %",9 %,"2,19 %",0 %,"0,00 %",1 %,"0,24 %"
578142,Jan˘vky,46,34,34,0 %,"0,00 %",0 %,"0,00 %",0 %,"0,00 %",2 %,"5,88 %",1 %,"2,94 %",1 %,"2,94 %",6 %,"17,64 %",0 %,"0,00 %",0 %,"0,00 %",0 %,"0,00 %",0 %,"0,00 %",0 %,"0,00 %"
