KÛd obce,N·zev obce,VoliËi v seznamu,VydanÈ ob·lky,PlatnÈ hlasy,ObËansk· demokratick· strana,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,»esk· str.soci·lnÏ demokrat.,RadostnÈ »esko,STAROSTOV… A NEZ¡VISLÕ,Komunistick· str.»ech a Moravy,Strana zelen˝ch,"ROZUMNÕ-stop migraci,dikt·t.EU",Strana svobodn˝ch obËan˘,Blok proti islam.-Obran.domova,ObËansk· demokratick· aliance,»esk· pir·tsk· strana,Referendum o EvropskÈ unii,TOP 09,ANO 2011,Dobr· volba 2016,SPR-Republ.str.»sl. M.Sl·dka,K¯esù.demokr.unie-»s.str.lid.,REALIST…,SPORTOVCI,DÏlnic.str.soci·lnÌ spravedl.,Svob.a p¯.dem.-T.Okamura (SPD),Strana Pr·v ObËan˘
578355,Lubn·,808,581,575,50 %,"8,69 %",4 %,"0,69 %",0 %,"0,00 %",27 %,"4,69 %",0 %,"0,00 %",46 %,"8,00 %",46 %,"8,00 %",4 %,"0,69 %",2 %,"0,34 %",10 %,"1,73 %",0 %,"0,00 %",0 %,"0,00 %"
578363,Makov,252,186,185,10 %,"5,40 %",0 %,"0,00 %",0 %,"0,00 %",2 %,"1,08 %",2 %,"1,08 %",19 %,"10,27 %",10 %,"5,40 %",3 %,"1,62 %",2 %,"1,08 %",1 %,"0,54 %",1 %,"0,54 %",1 %,"0,54 %"
578371,MalÌkov,77,47,47,1 %,"2,12 %",0 %,"0,00 %",0 %,"0,00 %",6 %,"12,76 %",0 %,"0,00 %",1 %,"2,12 %",12 %,"25,53 %",0 %,"0,00 %",0 %,"0,00 %",0 %,"0,00 %",1 %,"2,12 %",0 %,"0,00 %"
578380,MÏsteËko Trn·vka,1†172,727,723,31 %,"4,28 %",0 %,"0,00 %",0 %,"0,00 %",87 %,"12,03 %",0 %,"0,00 %",14 %,"1,93 %",115 %,"15,90 %",9 %,"1,24 %",2 %,"0,27 %",6 %,"0,82 %",1 %,"0,13 %",1 %,"0,13 %"
578398,MikuleË,193,124,124,1 %,"0,80 %",1 %,"0,80 %",0 %,"0,00 %",8 %,"6,45 %",3 %,"2,41 %",3 %,"2,41 %",10 %,"8,06 %",2 %,"1,61 %",11 %,"8,87 %",1 %,"0,80 %",0 %,"0,00 %",0 %,"0,00 %"
578401,MladÏjov na MoravÏ,356,204,202,8 %,"3,96 %",1 %,"0,49 %",1 %,"0,49 %",18 %,"8,91 %",0 %,"0,00 %",13 %,"6,43 %",31 %,"15,34 %",1 %,"0,49 %",1 %,"0,49 %",1 %,"0,49 %",0 %,"0,00 %",0 %,"0,00 %"
578428,Moraöice,583,409,406,32 %,"7,88 %",1 %,"0,24 %",0 %,"0,00 %",13 %,"3,20 %",0 %,"0,00 %",54 %,"13,30 %",20 %,"4,92 %",4 %,"0,98 %",6 %,"1,47 %",4 %,"0,98 %",1 %,"0,24 %",0 %,"0,00 %"
578444,Moravsk· T¯ebov·,8†431,4†818,4†794,394 %,"8,21 %",15 %,"0,31 %",4 %,"0,08 %",532 %,"11,09 %",5 %,"0,10 %",144 %,"3,00 %",560 %,"11,68 %",48 %,"1,00 %",51 %,"1,06 %",71 %,"1,48 %",6 %,"0,12 %",1 %,"0,02 %"
578452,NedvÏzÌ,184,138,138,13 %,"9,42 %",0 %,"0,00 %",0 %,"0,00 %",13 %,"9,42 %",0 %,"0,00 %",12 %,"8,69 %",7 %,"5,07 %",1 %,"0,72 %",2 %,"1,44 %",0 %,"0,00 %",0 %,"0,00 %",0 %,"0,00 %"
580694,NÏmËice,751,506,496,22 %,"4,43 %",3 %,"0,60 %",1 %,"0,20 %",23 %,"4,63 %",0 %,"0,00 %",62 %,"12,50 %",43 %,"8,66 %",1 %,"0,20 %",5 %,"1,00 %",14 %,"2,82 %",2 %,"0,40 %",1 %,"0,20 %"
572608,Nov· SÌdla,179,120,120,5 %,"4,16 %",1 %,"0,83 %",0 %,"0,00 %",6 %,"5,00 %",0 %,"0,00 %",12 %,"10,00 %",5 %,"4,16 %",2 %,"1,66 %",2 %,"1,66 %",2 %,"1,66 %",0 %,"0,00 %",0 %,"0,00 %"
572438,Nov· Ves u Jaroöova,54,36,36,5 %,"13,88 %",0 %,"0,00 %",0 %,"0,00 %",2 %,"5,55 %",0 %,"0,00 %",1 %,"2,77 %",1 %,"2,77 %",2 %,"5,55 %",1 %,"2,77 %",0 %,"0,00 %",0 %,"0,00 %",0 %,"0,00 %"
578479,Old¯iö,533,347,346,25 %,"7,22 %",4 %,"1,15 %",1 %,"0,28 %",24 %,"6,93 %",2 %,"0,57 %",18 %,"5,20 %",20 %,"5,78 %",0 %,"0,00 %",3 %,"0,86 %",1 %,"0,28 %",0 %,"0,00 %",0 %,"0,00 %"
578487,Opatov,926,491,487,26 %,"5,33 %",7 %,"1,43 %",0 %,"0,00 %",47 %,"9,65 %",1 %,"0,20 %",73 %,"14,98 %",56 %,"11,49 %",11 %,"2,25 %",4 %,"0,82 %",1 %,"0,20 %",0 %,"0,00 %",0 %,"0,00 %"
572721,Opatovec,544,341,341,33 %,"9,67 %",0 %,"0,00 %",0 %,"0,00 %",38 %,"11,14 %",0 %,"0,00 %",21 %,"6,15 %",30 %,"8,79 %",7 %,"2,05 %",14 %,"4,10 %",4 %,"1,17 %",0 %,"0,00 %",2 %,"0,58 %"
578509,OsÌk,821,593,587,78 %,"13,28 %",1 %,"0,17 %",0 %,"0,00 %",43 %,"7,32 %",2 %,"0,34 %",47 %,"8,00 %",52 %,"8,85 %",8 %,"1,36 %",4 %,"0,68 %",6 %,"1,02 %",2 %,"0,34 %",2 %,"0,34 %"
578550,Pohledy,258,150,149,6 %,"4,02 %",0 %,"0,00 %",0 %,"0,00 %",9 %,"6,04 %",0 %,"0,00 %",1 %,"0,67 %",18 %,"12,08 %",3 %,"2,01 %",1 %,"0,67 %",2 %,"1,34 %",0 %,"0,00 %",0 %,"0,00 %"
578576,PoliËka,7†156,4†643,4†611,1†056 %,"22,90 %",2 %,"0,04 %",4 %,"0,08 %",352 %,"7,63 %",3 %,"0,06 %",99 %,"2,14 %",319 %,"6,91 %",63 %,"1,36 %",46 %,"0,99 %",74 %,"1,60 %",4 %,"0,08 %",2 %,"0,04 %"
578584,PomezÌ,974,553,551,73 %,"13,24 %",2 %,"0,36 %",1 %,"0,18 %",42 %,"7,62 %",2 %,"0,36 %",19 %,"3,44 %",54 %,"9,80 %",6 %,"1,08 %",4 %,"0,72 %",6 %,"1,08 %",2 %,"0,36 %",0 %,"0,00 %"
572373,Po¯ÌËÌ u Litomyöle,360,287,284,19 %,"6,69 %",1 %,"0,35 %",0 %,"0,00 %",11 %,"3,87 %",0 %,"0,00 %",81 %,"28,52 %",12 %,"4,22 %",4 %,"1,40 %",1 %,"0,35 %",4 %,"1,40 %",0 %,"0,00 %",1 %,"0,35 %"
578622,P¯Ìluka,133,103,101,4 %,"3,96 %",0 %,"0,00 %",1 %,"0,99 %",7 %,"6,93 %",0 %,"0,00 %",16 %,"15,84 %",10 %,"9,90 %",0 %,"0,00 %",1 %,"0,99 %",0 %,"0,00 %",0 %,"0,00 %",0 %,"0,00 %"
578631,Pust· Kamenice,269,180,180,13 %,"7,22 %",1 %,"0,55 %",2 %,"1,11 %",22 %,"12,22 %",0 %,"0,00 %",10 %,"5,55 %",10 %,"5,55 %",1 %,"0,55 %",2 %,"1,11 %",7 %,"3,88 %",0 %,"0,00 %",0 %,"0,00 %"
578649,Pust· Rybn·,147,106,104,18 %,"17,30 %",0 %,"0,00 %",0 %,"0,00 %",8 %,"7,69 %",0 %,"0,00 %",8 %,"7,69 %",5 %,"4,80 %",2 %,"1,92 %",0 %,"0,00 %",1 %,"0,96 %",0 %,"0,00 %",1 %,"0,96 %"
578657,RadimÏ¯,909,485,483,29 %,"6,00 %",1 %,"0,20 %",1 %,"0,20 %",52 %,"10,76 %",0 %,"0,00 %",23 %,"4,76 %",60 %,"12,42 %",4 %,"0,82 %",7 %,"1,44 %",8 %,"1,65 %",0 %,"0,00 %",1 %,"0,20 %"
574333,Radkov,99,63,61,2 %,"3,27 %",0 %,"0,00 %",0 %,"0,00 %",8 %,"13,11 %",0 %,"0,00 %",2 %,"3,27 %",16 %,"26,22 %",1 %,"1,63 %",0 %,"0,00 %",0 %,"0,00 %",0 %,"0,00 %",0 %,"0,00 %"
578673,Rohozn·,535,332,331,17 %,"5,13 %",1 %,"0,30 %",0 %,"0,00 %",33 %,"9,96 %",4 %,"1,20 %",5 %,"1,51 %",40 %,"12,08 %",1 %,"0,30 %",3 %,"0,90 %",5 %,"1,51 %",0 %,"0,00 %",0 %,"0,00 %"
578681,RozhranÌ,265,193,191,13 %,"6,80 %",1 %,"0,52 %",0 %,"0,00 %",6 %,"3,14 %",0 %,"0,00 %",10 %,"5,23 %",22 %,"11,51 %",2 %,"1,04 %",1 %,"0,52 %",3 %,"1,57 %",0 %,"0,00 %",0 %,"0,00 %"
578690,Rozst·nÌ,194,126,120,1 %,"0,83 %",0 %,"0,00 %",0 %,"0,00 %",11 %,"9,16 %",0 %,"0,00 %",7 %,"5,83 %",31 %,"25,83 %",0 %,"0,00 %",0 %,"0,00 %",0 %,"0,00 %",0 %,"0,00 %",0 %,"0,00 %"
578703,Rudn·,135,79,79,1 %,"1,26 %",0 %,"0,00 %",0 %,"0,00 %",12 %,"15,18 %",0 %,"0,00 %",4 %,"5,06 %",20 %,"25,31 %",1 %,"1,26 %",2 %,"2,53 %",1 %,"1,26 %",0 %,"0,00 %",0 %,"0,00 %"
578711,Rychnov na MoravÏ,498,243,241,8 %,"3,31 %",0 %,"0,00 %",1 %,"0,41 %",27 %,"11,20 %",0 %,"0,00 %",14 %,"5,80 %",18 %,"7,46 %",2 %,"0,82 %",3 %,"1,24 %",4 %,"1,65 %",0 %,"0,00 %",0 %,"0,00 %"
572233,ÿÌdk˝,60,43,43,8 %,"18,60 %",0 %,"0,00 %",0 %,"0,00 %",4 %,"9,30 %",0 %,"0,00 %",3 %,"6,97 %",1 %,"2,32 %",1 %,"2,32 %",0 %,"0,00 %",0 %,"0,00 %",0 %,"0,00 %",0 %,"0,00 %"
578720,S·dek,405,266,265,42 %,"15,84 %",0 %,"0,00 %",0 %,"0,00 %",18 %,"6,79 %",0 %,"0,00 %",9 %,"3,39 %",11 %,"4,15 %",3 %,"1,13 %",2 %,"0,75 %",1 %,"0,37 %",0 %,"0,00 %",0 %,"0,00 %"
578738,Sebranice,755,528,523,44 %,"8,41 %",3 %,"0,57 %",0 %,"0,00 %",31 %,"5,92 %",0 %,"0,00 %",41 %,"7,83 %",24 %,"4,58 %",5 %,"0,95 %",5 %,"0,95 %",11 %,"2,10 %",1 %,"0,19 %",0 %,"0,00 %"
578746,SedliötÏ,191,127,127,10 %,"7,87 %",0 %,"0,00 %",0 %,"0,00 %",6 %,"4,72 %",0 %,"0,00 %",17 %,"13,38 %",8 %,"6,29 %",2 %,"1,57 %",3 %,"2,36 %",4 %,"3,14 %",0 %,"0,00 %",0 %,"0,00 %"
578754,SklenÈ,192,94,94,3 %,"3,19 %",0 %,"0,00 %",0 %,"0,00 %",8 %,"8,51 %",0 %,"0,00 %",1 %,"1,06 %",10 %,"10,63 %",1 %,"1,06 %",4 %,"4,25 %",0 %,"0,00 %",0 %,"0,00 %",0 %,"0,00 %"
